prefix,destination,FC,BC,SB,SC,FC-R,BC-R,SB-R,SC-R
880,Bangladesh,,,,,n/a,n/a,n/a,n/a
8801,BANGLADESH MOBILE,,,,,n/a,n/a,n/a,n/a
8802,Bangladesh Dhaka,,,,,n/a,n/a,n/a,n/a
88031,Bangladesh Chittagong,,,,,n/a,n/a,n/a,n/a
880821,Bangladesh Sylhet,,,,,n/a,n/a,n/a,n/a
91,India,,,,,n/a,n/a,n/a,n/a
9160,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9162,India Mobile,,,,,n/a,n/a,n/a,n/a
9163,India Mobile,,,,,n/a,n/a,n/a,n/a
9168,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9169,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9170,India Mobile,,,,,n/a,n/a,n/a,n/a
9172,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9173,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9174,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9175,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9176,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9177,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9178,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
9179,Jio,,,,,n/a,n/a,n/a,n/a
918,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
919,INDIA MOBILE,,,,,n/a,n/a,n/a,n/a
92,Pakistan,,,,,n/a,n/a,n/a,n/a
923,PAKISTAN MOBILE,,,,,n/a,n/a,n/a,n/a
9230,Pakistan Mobile Jazz,,,,,n/a,n/a,n/a,n/a
9231,Pakistan Mobile Zong,,,,,n/a,n/a,n/a,n/a
9232,Pakistan Mobile Jazz,,,,,n/a,n/a,n/a,n/a
9233,Pakistan Mobile Ufone,,,,,n/a,n/a,n/a,n/a
9234,Pakistan Mobile Telenor,,,,,n/a,n/a,n/a,n/a
9235,Pakistan Mobile SCO,,,,,n/a,n/a,n/a,n/a
9237,Pakistan Mobile Zong,,,,,n/a,n/a,n/a,n/a
9258,Pakistan Fixed SCO,,,,,n/a,n/a,n/a,n/a
